intersection_id,display_name,latitude,longitude,osm_node_id,source
osm-2038604013,Semáforo 2038604013,-27.092539,-52.619735,2038604013,osm
osm-2038604016,Semáforo 2038604016,-27.092719,-52.621282,2038604016,osm
osm-2038604017,Semáforo 2038604017,-27.092759,-52.621113,2038604017,osm
osm-2038604019,Semáforo 2038604019,-27.092809,-52.621345,2038604019,osm
osm-2038604020,Semáforo 2038604020,-27.092851,-52.621151,2038604020,osm
osm-2038604037,Semáforo 2038604037,-27.095661,-52.618992,2038604037,osm
osm-2038604038,Semáforo 2038604038,-27.095701,-52.618809,2038604038,osm
osm-2038604041,Semáforo 2038604041,-27.095833,-52.619021,2038604041,osm
osm-2038604042,Semáforo 2038604042,-27.095852,-52.618848,2038604042,osm
osm-2042623570,Semáforo 2042623570,-27.105103,-52.616355,2042623570,osm
osm-2042623573,Semáforo 2042623573,-27.10513,-52.616171,2042623573,osm
osm-2042623585,Semáforo 2042623585,-27.105244,-52.616387,2042623585,osm
osm-2042623588,Semáforo 2042623588,-27.105273,-52.616224,2042623588,osm
osm-2042623632,Semáforo 2042623632,-27.106406,-52.613931,2042623632,osm
osm-2042623635,Semáforo 2042623635,-27.106469,-52.613652,2042623635,osm
osm-2042623647,Semáforo 2042623647,-27.106588,-52.613966,2042623647,osm
osm-2042623652,Semáforo 2042623652,-27.10661,-52.613724,2042623652,osm
osm-2042638642,Semáforo 2042638642,-27.106866,-52.615879,2042638642,osm
osm-2042638647,Semáforo 2042638647,-27.106888,-52.61569,2042638647,osm
osm-2042638656,Semáforo 2042638656,-27.107019,-52.615906,2042638656,osm
osm-2042638661,Semáforo 2042638661,-27.107062,-52.615734,2042638661,osm
osm-2045124414,Semáforo 2045124414,-27.105096,-52.601561,2045124414,osm
osm-2045124487,Semáforo 2045124487,-27.105726,-52.604393,2045124487,osm
osm-2045124519,Semáforo 2045124519,-27.106337,-52.607133,2045124519,osm
osm-2045124542,Semáforo 2045124542,-27.106472,-52.607356,2045124542,osm
osm-2045124548,Semáforo 2045124548,-27.106521,-52.607207,2045124548,osm
osm-2045124573,Semáforo 2045124573,-27.106969,-52.609973,2045124573,osm
osm-2045124586,Semáforo 2045124586,-27.107096,-52.610195,2045124586,osm
osm-2045124590,Semáforo 2045124590,-27.107281,-52.611372,2045124590,osm
osm-2045124609,Semáforo 2045124609,-27.107443,-52.61141,2045124609,osm
osm-2045124616,Semáforo 2045124616,-27.1077,-52.613585,2045124616,osm
osm-2045124623,Semáforo 2045124623,-27.107717,-52.613331,2045124623,osm
osm-2045124652,Semáforo 2045124652,-27.108138,-52.615523,2045124652,osm
osm-2045124659,Semáforo 2045124659,-27.108165,-52.615339,2045124659,osm
osm-2045124686,Semáforo 2045124686,-27.108287,-52.615555,2045124686,osm
osm-2045124693,Semáforo 2045124693,-27.108328,-52.615387,2045124693,osm
osm-2045124712,Semáforo 2045124712,-27.108447,-52.616963,2045124712,osm
osm-2045124717,Semáforo 2045124717,-27.108484,-52.616763,2045124717,osm
osm-2045124755,Semáforo 2045124755,-27.108613,-52.617,2045124755,osm
osm-2045124759,Semáforo 2045124759,-27.108646,-52.616802,2045124759,osm
osm-2045124772,Semáforo 2045124772,-27.10878,-52.618352,2045124772,osm
osm-2045124779,Semáforo 2045124779,-27.1088,-52.61818,2045124779,osm
osm-2045124797,Semáforo 2045124797,-27.108927,-52.618392,2045124797,osm
osm-2045124803,Semáforo 2045124803,-27.108954,-52.618208,2045124803,osm
osm-2047239005,Semáforo 2047239005,-27.102451,-52.612724,2047239005,osm
osm-2047239024,Semáforo 2047239024,-27.102576,-52.612932,2047239024,osm
osm-2047239029,Semáforo 2047239029,-27.102592,-52.612717,2047239029,osm
osm-2047239100,Semáforo 2047239100,-27.104242,-52.612211,2047239100,osm
osm-2049699619,Semáforo 2049699619,-27.106926,-52.610152,2049699619,osm
osm-2049699627,Semáforo 2049699627,-27.107115,-52.610002,2049699627,osm
osm-2050131458,Semáforo 2050131458,-27.094474,-52.613555,2050131458,osm
osm-2050131459,Semáforo 2050131459,-27.094541,-52.613447,2050131459,osm
osm-2050131462,Semáforo 2050131462,-27.094659,-52.613586,2050131462,osm
osm-2050131465,Semáforo 2050131465,-27.094678,-52.613493,2050131465,osm
osm-2052749709,Semáforo 2052749709,-27.097431,-52.602221,2052749709,osm
osm-2052749741,Semáforo 2052749741,-27.097743,-52.603612,2052749741,osm
osm-2052750134,Semáforo 2052750134,-27.099897,-52.613596,2052750134,osm
osm-2052750135,Semáforo 2052750135,-27.099914,-52.613424,2052750135,osm
osm-2052750152,Semáforo 2052750152,-27.100042,-52.61363,2052750152,osm
osm-2052750155,Semáforo 2052750155,-27.10008,-52.613457,2052750155,osm
osm-2052750161,Semáforo 2052750161,-27.100347,-52.615367,2052750161,osm
osm-2052750175,Semáforo 2052750175,-27.100494,-52.61566,2052750175,osm
osm-2052750181,Semáforo 2052750181,-27.100769,-52.617565,2052750181,osm
osm-2052750184,Semáforo 2052750184,-27.100798,-52.61739,2052750184,osm
osm-2052750193,Semáforo 2052750193,-27.100929,-52.6176,2052750193,osm
osm-2052750198,Semáforo 2052750198,-27.100949,-52.617384,2052750198,osm
osm-2052750215,Semáforo 2052750215,-27.101399,-52.620404,2052750215,osm
osm-2052750218,Semáforo 2052750218,-27.101429,-52.620221,2052750218,osm
osm-2052750231,Semáforo 2052750231,-27.101566,-52.620443,2052750231,osm
osm-2052750234,Semáforo 2052750234,-27.101579,-52.620259,2052750234,osm
